location,TU.ID,TU.type,alt_TSS..TU.type...an.or.n.,genes,Sense.tags,genename,Annotation..cyanobase.,Entrez_GeneID,X15C,X42C,X.CO2,Darkness,X.Fe,Hl,X.N,X.P,Exp..p.,Stat..p.,Median
Chr,TU3381,ga,,2,"sll0502, sll0503","argS, sll0503","arginyl-tRNA-synthetase, hypothetical protein","953297, 952167",10019,7004,5120,748,2684,2973,4931,5997,899,3062,3996.5
Chr,TU2171,g,,1,slr0444,aroA,3-phosphoshikimate 1-carboxyvinyltransferase,952914,3212,233,978,56,1554,2213,2146,1591,490,585,1266
Chr,TU1682,g,,1,slr2130,aroB,3-dehydroquinate synthase,954743,2876,367,1055,56,1784,2244,678,1145,797,225,926
Chr,TU930,ga,,2,"sll1747, ssl3712","aroC, ssl3712","chorismate synthase, hypothetical protein","954038, 954037",1630,133,1515,0,2079,3046,1543,1708,822,270,1529
Chr,TU3547,i,,0,slr1559,aroE,shikimate 5-dehydrogenase ,952011,623,33,153,0,889,338,1129,175,573,45,256.5
Chr,TU3548,i,,0,slr1559,aroE,shikimate 5-dehydrogenase ,952011,2157,967,1208,19,1447,1363,1355,1727,988,450,1281.5
Chr,TU3134,ga,,1,sll0109,aroH,chorismate mutase,952274,431,267,230,131,21,30,339,252,0,630,241
Chr,TU243,g,,1,sll1669,aroK,shikimate kinase,953430,1582,200,383,19,1018,1538,715,543,655,0,599
Chr,TU2688,ga,,1,sll0402,aspC,aspartate aminotransferase,952600,767,67,153,37,1291,1484,1318,388,1805,180,577.5
Chr,TU1709,ga,,1,slr1329,atpB,ATP synthase beta subunit,954763,8197,600,2281,74,7555,10838,1732,4638,7968,901,3459.5
Chr,TU2936,i,,0,slr0917,bioF,7-keto-8-aminopelargonic acid synthetase,952422,383,100,748,0,455,482,264,951,389,0,386
Chr,TU429,g,,2,"sll0634, sll0635","btpA, thiE","photosystem I biogenesis protein BtpA, probable thiamine-phosphate pyrophosphorylase","953603, 953602",671,0,58,0,96,66,151,58,51,45,58
Chr,TU229,gi,,1,slr1784,bvdR,biliverdin reductase,953416,575,400,1323,392,557,513,75,679,916,946,566
Chr,TU3528,g,,2,"sll0621, sll0622","ccdA, nadA","putative c-type cytochrome biogenesis protein CcdA, quinolinate synthetase","953228, 953284",719,267,844,150,225,229,715,369,314,270,292
Chr,TU1152,ga,,1,slr1369,cdsA,phosphatidate cytidylyltransferase,954211,5225,5870,5465,1962,8915,10651,6061,3610,8418,2792,5667.5
Chr,TU2490,ga,,1,slr0772,chlB,light-independent protochlorophyllide reductase subunit ChlB,953300,1103,1301,19481,131,3793,2708,17542,25346,17996,2026,3250.5
Chr,TU2713,ga,,1,slr0056,chlG,chlorophyll a synthase,952584,671,33,173,0,986,1242,151,213,604,90,193
Chr,TU496,g,,1,slr1055,chlH,magnesium protoporphyrin IX chelatase subunit H,953660,863,700,786,131,1136,1393,1845,1436,611,225,824.5
Chr,TU2008,g,,1,sll1091,chlP,geranylgeranyl hydrogenase,954978,3355,800,5177,0,22889,10205,5948,10558,28492,405,5562.5
Chr,TU3385,ga,,2,"slr0542, slr0543","clpP, trpB","ATP-dependent protease ClpP, tryptophan synthase beta subunit","952115, 952113",7813,5036,5963,953,6376,4825,7868,6812,2390,4278,5499.5
Chr,TU3331,ga,,1,sll0030,cmpR,"cmp operon transcriptional regulator, LysR family protein",953295,96,100,192,243,279,187,715,563,268,90,217.5
Chr,TU2852,gai,,1,sll0378,cobA,uroporphyrin-III C-methyltransferase,952490,671,133,211,19,161,458,3915,136,1795,315,263
Chr,TU328,i,,0,slr0969,cobJ,precorrin methylase ,953497,240,100,96,37,386,326,339,175,575,0,207.5
Chr,TU329,i,,0,slr0969,cobJ,precorrin methylase ,953497,527,33,249,0,579,193,678,369,935,45,309
Chr,TU1151,g,,1,slr1368,cobL,precorrin-6B methylase,954210,719,133,479,0,895,953,828,582,691,135,636.5
Chr,TU124,ga,,1,slr0239,cobM,precorrin methylase,953264,1630,233,786,75,1029,796,979,466,563,405,674.5
Chr,TU1541,ga,,1,slr0260,cobO,cob(I)alamin adenosyltransferase,954598,479,133,230,0,316,302,38,175,761,180,205
Chr,TU3117,i,,0,slr0618,cobQ,cobyric acid synthase,954919,1774,1334,2684,75,3338,1996,4856,4056,2271,540,2133.5
Chr,TU3071,g,,1,slr0502,cobW,cobalamin synthesis protein cobW homolog,952319,719,300,767,37,691,1025,489,776,176,90,590
Chr,TU595,g,,1,sll1929,comE,competence protein ComE,953746,288,133,173,0,166,199,527,485,587,0,186
Chr,TU596,n,alt,0,sll1929,comE,competence protein ComE,953746,1582,266,1092,19,2406,2539,1242,1087,1643,90,1167
Chr,TU2927,g,,2,"slr0904, slr0905","comM, bchE","competence protein ComM homolog, Mg-protoporphyrin IX monomethyl ester oxidative cyclase","953276, 952427",623,1301,824,56,1259,760,1769,737,841,540,792
Chr,TU1273,ga,,1,ssl3364,cp12,CP12 polypeptide,954332,15435,10773,7037,7102,27807,25560,17391,15157,16138,4593,15296
Chr,TU82,g,,2,"sll1051, sll1052","cpcF, sll1052","phycocyanin alpha-subunit phycocyanobilin lyase, hypothetical protein","953128, 953127",288,100,96,0,563,736,226,136,406,0,181
Chr,TU1488,ga,,2,"slr2002, slr2003","cphA, slr2003","cyanophycin synthetase, hypothetical protein","954551, 954552",4985,334,824,206,788,633,5270,1456,1005,540,806
Chr,TU1485,ga,,1,slr2001,cphB,cyanophycinase,954549,4170,1501,2397,673,3595,3371,2560,3086,1711,811,2478.5
Chr,TU114,ga,,1,slr0739,crtE,geranylgeranyl pyrophosphate synthase,953229,3979,467,1285,19,2309,2322,1205,2271,1044,45,1245
Chr,TU3326,g,,1,sll0033,crtH,carotene isomerase,952139,1246,67,77,0,209,694,979,175,186,0,180.5
Chr,TU3054,g,,1,slr0088,crtO,beta-carotene ketolase,952131,1103,0,192,0,370,543,113,58,483,45,152.5
Chr,TU998,ga,,1,sll1468,crtR,beta-carotene hydroxylase,954091,17113,1267,10086,75,11782,8775,10879,13954,5586,1576,9430.5
Chr,TU999,n,alt,0,sll1468,crtR,beta-carotene hydroxylase,954091,2013,100,518,0,691,476,1017,447,200,180,461.5
Chr,TU1742,ga,,1,sll0813,ctaC,cytochrome C oxidase subunit II,954798,1774,300,786,0,2920,3426,2710,1242,2788,180,1508
Chr,TU2580,ga,,1,slr0008,ctpA,carboxyl-terminal processing protease,952660,3116,24182,4448,1813,1200,1363,2823,1475,3332,1981,2402
Chr,TU303,g,,2,"slr1302, slr1303","cupB, slr1303","protein involved in constitutive low affinity CO2 uptake, hypothetical protein","953474, 953475",36719,7538,8360,318,5197,6948,11933,27597,3458,9322,7949
Chr,TU972,ga,,1,slr1842,cysK,cysteine synthase,954073,1150,100,460,19,1500,1297,753,621,797,45,687
Chr,TU96,ga,,1,sll0712,cysM,cysteine synthase,953149,5177,1001,3490,56,4613,3818,2372,3319,1774,540,2845.5
Chr,TU2102,ga,,1,slr0958,cysS,cysteinyl-tRNA synthetase,952962,1198,2401,2339,2000,2165,2467,678,2795,657,1621,2082.5
Chr,TU1807,ga,,1,sll1245,cytM,cytochrome cM,954872,4122,334,1227,19,1034,1333,1393,524,379,90,779
Chr,TU3649,ga,,1,slr1665,dapF,diaminopimelate epimerase,951942,1007,600,594,897,439,663,1092,757,135,495,631.5
Chr,TU1803,ga,,1,slr1350,desA,acyl-lipid desaturase (delta 12),954869,5033,267,997,0,5861,4572,678,699,1290,135,848
Chr,TU2196,g,,1,sll0262,desD,acyl-lipid desaturase (delta 6),953137,5081,33,959,0,1763,2437,2447,815,2010,180,1361
Chr,TU2197,n,alt,0,sll0262,desD,acyl-lipid desaturase (delta 6),953137,863,100,441,0,670,446,828,951,382,0,443.5
Chr,TU3709,g,,1,slr0603,dnaE,DNA polymerase III alpha subunit [Contains: Ssp dnaE intein],951978,9683,2602,5944,56,3338,2437,6249,3299,1986,1171,2950.5
Chr,TU3059,g,,2,"slr0093, slr0095","dnaJ, slr0095","DnaJ protein, heat shock protein 40, molecular chaperone, O-methyltransferase","952327, 952326",3116,39491,2397,6242,4742,3969,4705,3125,2462,4593,4281
Chr,TU588,ga,,2,"sll1932, sll1933","dnaK, dnaJ","DnaK protein, DnaJ protein, heat shock protein 40, molecular chaperone","953743, 953742",575,200,690,0,2529,1134,1506,524,2912,90,632.5
Chr,TU323,g,,1,slr0965,dnaN,DNA polymerase III beta subunit,953490,1726,67,230,0,605,1882,38,97,210,45,153.5
Chr,TU1095,ga,,1,sll1360,dnaX,DNA polymerase III subunit gamma/tau [Contains: Ssp dnaX intein],954170,2061,200,2531,93,820,1261,1882,835,203,901,868
Chr,TU2702,ga,,1,slr0051,ecaB,periplasmic beta-type carbonic anhydrase,952596,383,200,518,0,600,356,1430,427,263,45,369.5
Chr,TU2674,ga,,3,"slr0434, slr0435, slr0436","efp, accB, ccmO","elongation factor P, biotin carboxyl carrier protein of acetyl-CoA carboxylase, carbon dioxide concentrating mechanism protein CcmO","952603, 952610, 952608",1726,167,614,19,1372,1876,226,485,2341,180,549.5
Chr,TU769,g,,1,slr2023,fabD,malonyl coenzyme A-acyl carrier protein transacylase,953892,5177,133,1074,0,5026,8003,339,1650,4497,180,1362
Chr,TU1638,ga,,1,slr1511,fabH,3-oxoacyl-[acyl-carrier-protein] synthase III,954685,2397,33,844,19,1425,1888,527,1300,742,0,793
Chr,TU2080,ga,,1,slr0943,fda,"fructose-bisphosphate aldolase, class I",952985,144,133,96,0,332,78,113,97,657,45,105
Chr,TU1970,ga,,1,slr1531,ffh,signal recognition particle protein,954986,1150,634,537,187,723,579,414,543,140,315,540
Chr,TU2737,ga,,1,slr0070,fmt,methionyl-tRNA formyltransferase,952563,288,67,96,0,391,772,113,213,645,0,163
Chr,TU2738,i,,0,slr0070,fmt,methionyl-tRNA formyltransferase,952563,911,233,364,0,573,283,527,602,333,0,348.5
Chr,TU775,ga,,1,slr2026,folP,dihydropteroate synthase,953898,1582,1334,1630,1065,2100,1791,1092,2465,1210,900,1458
Chr,TU2907,ga,,2,"ssr0330, slr0209","ftrV, slr0209","ferredoxin-thioredoxin reductase, variable chain, unknown protein","952454, 952452",12943,1668,7305,56,7415,10060,3539,6734,4265,946,5499.5
Chr,TU2651,n,alt,0,slr0228,ftsH,cell division protein FtsH,952628,9491,333,3049,38,2394,6924,1694,990,812,360,1342
Chr,TU2652,ga,,1,slr0228,ftsH,cell division protein FtsH,952628,3643,3069,3202,0,5995,4994,6625,5143,4948,811,4295.5
Chr,TU461,ga,,1,slr1604,ftsH,cell division protein FtsH,953629,24112,1134,3202,224,6510,18033,1656,1902,7556,585,2552
Chr,TU1008,ga,,2,"sll1463, sll1464","ftsH, sll1464","cell division protein FtsH, hypothetical protein","954100, 954099",15819,9739,13153,2841,8139,8474,8959,13508,1880,8961,8960
Chr,TU685,ga,,2,"slr1390, slr1391","ftsH, slr1391","cell division protein FtsH, unknown protein","953826, 953827",11696,3902,5139,37,6279,5362,11632,5842,3151,2252,5250.5
Chr,TU1031,ga,,1,sll1633,ftsZ,cell division protein FtsZ,954119,40506,600,10086,19,12698,10464,23678,5376,10088,3062,10087
Chr,TU3700,ga,,1,sll0567,fur,ferric uptake regulation protein,952481,10450,3902,7401,131,15093,8534,6926,6521,3649,1531,6723.5
Chr,TU2998,ga,,1,sll0830,fus,elongation factor EF-G,952373,383,3169,6692,411,766,386,5232,14129,669,1846,1306
Chr,TU3443,ga,,1,sll1342,gap2,glyceraldehyde-3-phosphate dehydrogenase,952066,31494,4369,17257,37,39900,38419,10804,23949,44007,3197,20603
Chr,TU2018,gi,,1,sll1566,ggpS,glucosylglycerolphosphate synthase,953026,527,100,364,0,643,639,414,291,515,270,389
Chr,TU3588,gai,,1,slr0747,ggtA,glucosylglycerol transport system ATP-binding protein,951987,1342,167,268,56,1104,1092,903,563,1259,315,733
Chr,TU3025,g,,1,slr0072,gidB,glucose inhibited division protein B,952355,336,667,652,56,520,344,226,640,597,180,432
Chr,TU627,g,,1,ssl1911,gifA,glutamine synthetase inactivating factor IF7,953771,6663,176309,150364,3962,13362,18124,301,26608,2641,61920,15743
Chr,TU1601,gai,,1,slr2097,glbN,cyanoglobin,954656,2061,1167,2953,150,1034,2244,2033,3125,1858,405,1945.5
Chr,TU2681,ga,,1,sll0404,glcD,glycolate oxidase subunit GlcD,952602,1869,434,1055,0,1918,1532,2183,970,831,270,1012.5
Chr,TU305,ga,,1,sll1189,glcE,glycolate oxidase subunit GlcE,953476,9060,1434,4046,150,4393,3932,3012,3396,2655,585,3204
Chr,TU52,g,,1,sll1393,glgA,glycogen (starch) synthase,952566,5704,1501,2704,150,9457,13329,2597,5900,18040,1486,4204
Chr,TU53,n,alt,0,sll1393,glgA,glycogen (starch) synthase,952566,480,834,1074,75,1216,880,1130,1242,2132,450,977
Chr,TU2422,ga,,2,"sll0158, sll0160","glgB, sll0160","1,4-alpha-glucan branching enzyme, hypothetical protein","952758, 951966",144,233,211,56,16,12,113,78,2,540,95.5
Chr,TU510,g,,1,slr1756,glnA,glutamate--ammonia ligase,953675,9827,1001,2416,56,19953,7334,23753,7860,25900,2026,7597
Chr,TU2231,ga,,1,ssl0707,glnB,nitrogen regulatory protein P-II,952897,1965,200,844,19,2197,1170,25485,2833,15479,946,1567.5
Chr,TU2207,ga,,2,"slr0288, slr0291","glnN, slr0291","glutamate--ammonia ligase, hypothetical protein","952886, 953152",4027,467,1496,19,1425,1224,35536,1883,13212,856,1460.5
Chr,TU2016,gai,,1,sll1085,glpD,glycerol-3-phosphate dehydrogenase,953021,288,267,345,243,1018,1074,527,563,2148,270,436
Chr,TU3533,ga,,1,sll1499,glsF,ferredoxin-dependent glutamate synthase,952019,336,33,153,19,413,482,264,194,577,0,229
Chr,TU467,ga,,1,sll1502,gltB,NADH-dependent glutamate synthase large subunit,953637,14381,7705,27879,635,11600,9005,58310,24259,13176,5944,12388
Chr,TU209,ga,,1,sll1027,gltD,NADH-glutamate synthase small subunit,953396,6136,3135,9971,654,9880,7038,30040,10655,8904,3467,7971
Chr,TU211,n,alt,0,sll1027,gltD,NADH-glutamate synthase small subunit,953396,288,0,96,0,289,362,113,39,773,45,104.5
Chr,TU2900,ga,,1,sll0179,gltX,glutamyl-tRNA synthetase,952340,2828,300,1860,0,2127,3407,1807,777,809,405,1308
Chr,TU590,g,,1,sll1931,glyA,serine hydroxymethyltransferase,953744,27467,11040,30736,505,32731,39444,16751,27112,22739,15851,24925.5
Chr,TU2635,an,alt,0,slr0220,glyS,glycyl-tRNA synthetase beta chain,952639,767,0,134,0,166,217,301,78,215,0,150
Chr,TU2636,ga,,1,slr0220,glyS,glycyl-tRNA synthetase beta chain,952639,3355,100,786,19,1189,1363,1092,427,263,90,606.5
Chr,TU2615,ga,,2,"slr0213, slr0214","guaA, slr0214","GMP synthetase, cytosine-specific methyltransferase(5'-CGATCG-3')","952645, 952640",39163,2068,15704,243,26039,25090,19989,18262,21575,2882,19125.5
Chr,TU560,g,,1,sll1941,gyrA,DNA gyrase A subunit,953722,671,0,115,0,305,543,226,78,481,135,180.5
Chr,TU2836,ga,,2,"slr0417, slr0418","gyrA, slr0418","DNA gyrase subunit A, putative transcripton factor DevT homolog","954623, 952503",7861,3269,4065,0,8492,8564,8093,9083,3736,1801,5963
Chr,TU2257,g,,1,slr0143,hat,"WD-repeat protein, Hat protein, involved in the control of a high-affinity transport system for inorganic carbon",952872,96,1501,422,0,396,482,339,543,362,135,379
Chr,TU2259,i,,0,slr0143,hat,"WD-repeat protein, Hat protein, involved in the control of a high-affinity transport system for inorganic carbon",952872,3116,267,959,19,1334,1242,1054,1300,1075,495,1064.5
Chr,TU2260,i,,0,slr0143,hat,"WD-repeat protein, Hat protein, involved in the control of a high-affinity transport system for inorganic carbon",952872,0,67,268,150,166,247,264,233,587,90,199.5
Chr,TU1319,ga,,1,slr1808,hemA,glutamyl-tRNA reductase,954371,5321,3402,12061,19,16550,9222,4705,16516,16085,721,7271.5
Chr,TU1281,g,,1,slr1887,hemC,porphobilinogen deaminase,954338,1198,267,537,0,488,748,414,621,406,45,451
Chr,TU1689,ga,,1,sll1237,hemK,N(5)-glutamine methyltransferase,954749,5369,2601,3183,112,6312,4813,2786,3105,6867,1396,3144
Chr,TU2574,g,,1,sll0017,hemL,glutamate-1-semialdehyde aminomutase,952666,30918,1368,9875,19,14396,18063,5759,8850,3470,721,7304.5
Chr,TU3064,ga,,1,slr0500,hisB,imidazoleglycerol-phosphate dehydratase,952322,3883,3202,3777,150,2304,3124,2560,3280,2407,1396,2842
Chr,TU401,ga,,1,slr0682,hisD,histidinol dehydrogenase,953582,2301,734,1285,449,2925,2123,2033,1456,4376,1081,1744.5
Chr,TU3049,g,,1,slr0084,hisH,amidotransferase HisH,952332,2780,967,2032,56,2722,2895,2936,2562,2924,630,2642
Chr,TU3716,g,,1,slr0608,hisIE,histidine biosynthesis bifunctional protein HisIE,951868,2780,2001,3509,112,3483,4342,1732,3610,3711,1306,3131.5
Chr,TU2558,g,,1,slr0357,hisS,histidyl-tRNA synthetase,952688,1103,0,249,0,600,718,339,291,797,0,315
Chr,TU2559,i,,0,slr0357,hisS,histidyl-tRNA synthetase,952688,767,33,499,0,847,688,866,621,904,360,654.5
Chr,TU312,g,,2,"sll1184, sll1185","ho1, hemF","heme oxygenase, coproporphyrinogen III oxidase, aerobic (oxygen-dependent)","953483, 953482",1726,967,5944,19,6703,3504,1543,11431,16058,540,2615
Chr,TU445,ga,,1,sll1514,hspA,"16.6 kDa small heat shock protein, molecular chaperone",953615,13757,2753801,38272,389803,16979,18268,12498,6657,6169,76960,17623.5
Chr,TU1296,i,,0,slr2135,hupE,hydrogenase accessory protein HupE,954349,6375,0,249,0,557,1037,452,194,807,90,350.5
Chr,TU1978,ga,,2,"sll1432, sll1433","hypB, sll1433","putative hydrogenase expression/formation protein HypB, hypothetical protein","953057, 953046",1390,1101,1342,56,2920,1574,5120,3260,4726,495,1482
Chr,TU1817,ga,,2,"ssl3580, sll1900","hypC, act","putative hydrogenase expression/formation protein HypC, acetyltransferase","954880, 954879",2253,2335,3681,748,2229,1447,2560,2872,631,2297,2275
Chr,TU51,ga,,1,slr1498,hypD,hydrogenase isoenzyme formation protein HypD,952491,240,267,115,0,1179,501,866,194,889,0,253.5
Chr,TU274,n,alt,0,"slr1289, slr1290","icd, slr1290","isocitrate dehydrogenase (NADP+), hypothetical protein","953454, 953455",1006,167,249,150,777,1122,1356,407,1263,225,592
Chr,TU275,ga,,2,"slr1289, slr1290","icd, slr1290","isocitrate dehydrogenase (NADP+), hypothetical protein","953454, 953455",1582,100,268,0,739,1671,4705,835,904,135,787
Chr,TU1645,g,,2,"slr1515, ssr2551","ictB, ssr2551","putative membrane protein required for bicarbonate uptake, hypothetical protein","954692, 954693",1534,567,690,93,948,1061,1054,1203,1706,901,1001
Chr,TU1092,ga,,1,sll1362,ileS,isoleucyl-tRNA synthetase,954168,4458,834,1649,19,3279,2792,1920,2077,1317,270,1784.5
Chr,TU918,g,,1,slr2072,ilvA,L-threonine deaminase,954029,1103,367,537,243,423,380,75,737,130,270,373.5
Chr,TU1592,ga,,1,sll1981,ilvB,acetolactate synthase,954649,2636,8205,5599,6952,91,133,376,1824,0,7520,2230
Chr,TU3498,g,,1,sll1363,ilvC,ketol-acid reductoisomerase,952138,2636,334,1668,0,4822,12551,1318,2368,5521,360,2018
Chr,TU1585,ga,,2,"slr2088, slr2089","ilvG, shc","acetohydroxy acid synthase, squalene-hopene-cyclase","954642, 954643",9539,11240,17084,1290,16122,16887,19763,22726,12615,7836,14368.5
Chr,TU835,g,,1,ssl3441,infA,initiation factor IF-1,953952,1055,300,326,37,1179,1441,226,388,1261,225,357
Chr,TU1556,ga,,1,sll0247,isiA,"iron-stress chlorophyll-binding protein, homologous to psbC (CP43)",954611,48,133,19,2112,160751,229,151,58,48,0,95.5
Chr,TU1555,g,,2,"sll0248, sll0249","isiB, sll0249","flavodoxin, hypothetical protein","954609, 954608",240,700,288,5308,927,0,151,330,0,540,309
Chr,TU2432,ga,,2,"slr0186, slr0359","leuA, slr0359","2-isopropylmalate synthase, hypothetical protein","951957, 952715",26844,12107,51751,785,62199,56971,28722,34701,40061,34270,34485.5
Chr,TU1650,gi,,1,slr1517,leuB,3-isopropylmalate dehydrogenase,954695,3787,200,575,0,975,1013,489,1029,418,90,532
Chr,TU3584,ga,,1,sll1470,leuC,3-isopropylmalate dehydratase large subunit,951988,6327,3536,3739,1159,3365,3299,5383,4056,788,1126,3450.5
Chr,TU1752,gai,,1,slr0817,menF,menaquinone-specific isochorismate synthase,954816,84366,127645,95775,110248,25203,23003,95389,145051,17,225162,95582
Chr,TU3173,g,,1,sll0288,minC,septum formation inhibitor,952243,383,0,77,0,627,428,715,194,285,135,239.5
Chr,TU3172,gi,,2,"sll0289, ssl0546","minD, minE","septum site-determining protein MinD, septum site-determining protein MinE","952245, 952247",3115,500,1265,262,2298,5723,3952,2891,1055,540,1781.5
Chr,TU2120,ga,,1,sll1536,moeB,molybdopterin biosynthesis MoeB protein,952952,3308,1134,4468,37,5974,4765,4367,3435,1508,360,3371.5
Chr,TU1291,ga,,2,"sll2010, sll2011","murD, sll2011","UDP-N-acetylmuramoylalanine--D-glutamate ligase, hypothetical protein","954346, 954345",2157,33,307,0,1586,1870,452,854,882,135,653
Chr,TU3348,ga,,1,slr0528,murE,"UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase",952508,7813,500,1572,56,4854,5380,3012,2523,6215,766,2767.5
Chr,TU1805,ga,,1,slr1351,murF,"UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diamino-pimelate-D-alanyl-D-alanine ligase",954871,2876,33,671,19,1613,19999,226,970,1319,225,820.5
Chr,TU3634,i,,0,slr1656,murG,UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapep tide) pyrophosphoryl -undecaprenol N-acetylglucosamine tr ansferase ,951944,767,0,58,0,80,60,188,39,72,0,59
Chr,TU3635,i,,0,slr1656,murG,UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapep tide) pyrophosphoryl -undecaprenol N-acetylglucosamine tr ansferase ,951944,288,133,211,19,573,217,527,194,428,270,243.5
Chr,TU1,a,,0,NA,NA,NA,NA,240,133,230,0,198,193,678,213,106,180,195.5
Chr,TU1003,a,,0,NA,NA,NA,NA,7574,1301,4046,131,2561,1888,3237,1785,812,585,1836.5
Chr,TU1005,a,,0,NA,NA,NA,NA,0,334,211,19,0,0,0,97,0,1126,9.5
Chr,TU1007,a,,0,NA,NA,NA,NA,192,100,173,19,263,121,264,175,590,45,174
Chr,TU1009,a,,0,NA,NA,NA,NA,14141,734,3643,19,5294,3932,5383,3552,8136,675,3787.5
Chr,TU101,a,,0,NA,NA,NA,NA,2828,634,1131,19,1040,1032,1205,1378,824,225,1036
Chr,TU1011,a,,0,NA,NA,NA,NA,1055,200,268,37,429,302,866,524,379,180,340.5
Chr,TU1012,a,,0,NA,NA,NA,NA,383,33,153,0,354,416,113,311,585,45,232
Chr,TU1017,a,,0,NA,NA,NA,NA,719,0,58,0,64,48,38,39,22,90,43.5
Chr,TU1020,a,,0,NA,NA,NA,NA,3068,67,460,0,445,525,376,893,495,180,452.5
Chr,TU1024,a,,0,NA,NA,NA,NA,144,267,460,0,402,187,979,155,420,0,227
Chr,TU1025,a,,0,NA,NA,NA,NA,144,200,556,75,311,229,414,524,106,0,214.5
Chr,TU1027,a,,0,NA,NA,NA,NA,1630,1234,902,19,1602,1363,2033,873,672,90,1068
Chr,TU1028,a,,0,NA,NA,NA,NA,7766,634,3068,0,3568,2316,3764,3493,1235,1306,2692
Chr,TU1032,a,,0,NA,NA,NA,NA,1007,1167,1093,1140,964,856,791,1436,1138,1486,1115.5
Chr,TU1034,a,,0,NA,NA,NA,NA,3787,600,1707,262,2743,2955,2146,2853,1817,360,1981.5
Chr,TU1038,a,,0,NA,NA,NA,NA,1246,534,940,168,2813,2967,1393,1650,1945,946,1319.5
Chr,TU1039,a,,0,NA,NA,NA,NA,96,233,115,0,375,362,75,213,544,45,164
Chr,TU1040,a,,0,NA,NA,NA,NA,240,100,383,19,1131,621,1129,349,1334,0,366
Chr,TU1042,a,,0,NA,NA,NA,NA,1486,133,479,243,2047,2063,1317,1319,1842,90,1318
Chr,TU1044,a,,0,NA,NA,NA,NA,527,67,364,0,364,253,1129,388,338,90,351
Chr,TU1045,a,,0,NA,NA,NA,NA,911,100,441,0,1377,1230,866,679,587,315,633
Chr,TU1046,a,,0,NA,NA,NA,NA,671,33,77,0,107,36,113,175,94,90,92
Chr,TU1050,a,,0,NA,NA,NA,NA,623,67,249,0,455,645,188,349,242,135,245.5
Chr,TU1056,a,,0,NA,NA,NA,NA,719,167,364,93,32,12,226,349,0,360,196.5
Chr,TU1057,a,,0,NA,NA,NA,NA,3116,367,1419,486,1527,2171,489,2018,1928,901,1473
Chr,TU1058,a,,0,NA,NA,NA,NA,719,667,786,56,1082,404,1054,524,273,225,595.5
Chr,TU1059,a,,0,NA,NA,NA,NA,1246,600,1476,0,922,669,414,796,742,495,705.5
Chr,TU106,a,,0,NA,NA,NA,NA,2493,2502,2972,206,1377,1978,1995,2736,230,1801,1986.5
Chr,TU1061,a,,0,NA,NA,NA,NA,527,800,422,0,568,555,1016,1591,911,45,561.5
Chr,TU1064,a,,0,NA,NA,NA,NA,1678,133,805,0,900,1019,1430,427,205,225,616
Chr,TU1068,a,,0,NA,NA,NA,NA,336,67,77,19,246,121,527,175,242,90,148
Chr,TU1072,a,,0,NA,NA,NA,NA,192,67,499,0,225,265,979,252,367,45,238.5
